,Cerrar,Var neta,Núm de ticks,Volumen,rango,MVA5
09:30 - 10:30,369.3,0.19,2055.0,280375,2.5,370.1719999999998
10:30 - 11:30,369.59,0.29,1288.0,162610,1.7200000000000273,370.0019999999998
11:30 - 12:30,369.97,0.38,1555.0,210164,2.3500000000000227,369.90799999999973
14:30 - 15:30,370.53,0.74,1338.0,286872,1.650000000000034,369.96199999999976
08:30 - 09:30,370.68,0.15,2376.0,353289,4.03000000000003,370.1799999999998
09:30 - 10:30,372.77,2.09,1792.0,240524,2.180000000000007,370.73999999999984
10:30 - 11:30,370.78,-1.99,1890.0,279520,2.680000000000007,370.9099999999998
11:30 - 12:30,369.05,-1.73,1337.0,202840,1.8199999999999932,370.76199999999983
14:30 - 15:30,368.83,0.24,1826.0,322693,1.7699999999999818,369.35199999999975
08:30 - 09:30,365.58,-3.25,3224.0,475356,4.569999999999993,368.3119999999998
09:30 - 10:30,369.54,3.96,2377.0,324077,4.390000000000043,368.4099999999998
10:30 - 11:30,369.15,-0.39,2133.0,309756,1.3900000000000432,368.3379999999998
11:30 - 12:30,369.15,0.0,1234.0,165485,1.2800000000000296,368.44999999999976
14:30 - 15:30,370.64,1.3,1670.0,274080,2.1899999999999977,369.80599999999987
08:30 - 09:30,379.29,8.65,11077.0,1845406,7.259999999999991,371.83399999999983
09:30 - 10:30,379.42,0.13,4430.0,640286,2.9399999999999977,373.8879999999998
10:30 - 11:30,375.13,-4.29,4375.0,680886,5.2099999999999795,374.76399999999984
11:30 - 12:30,374.95,-0.18,4804.0,744564,3.930000000000007,375.88599999999985
14:30 - 15:30,371.51,1.33,3325.0,509201,1.9800000000000182,372.7359999999999
08:30 - 09:30,376.09,4.58,7903.0,1093109,6.0,372.9279999999999
09:30 - 10:30,374.0,-2.09,3802.0,532573,4.810000000000002,372.7379999999999
10:30 - 11:30,374.72,0.72,2956.0,419212,3.6999999999999886,373.29999999999984
11:30 - 12:30,373.88,-0.84,3147.0,402976,1.5,374.03999999999985
14:30 - 15:30,373.74,-0.11,3370.0,528096,1.5600000000000023,374.1519999999999
08:30 - 09:30,377.39,3.65,3816.0,575947,3.080000000000041,374.6859999999998
09:30 - 10:30,375.6,-1.79,1818.0,244062,3.25,375.02999999999986
